SCHEMA_VERSION	1
SOFTWARE	GAP	4.12.1
SOFTWARE	CTblLib	1.3.7
TABLE_REQUEST	L4(3)
TABLE_IDENTIFIER	L4(3)
TABLE_IS_ORDINARY	true
TABLE_IS_SIMPLE_CHARACTER_TABLE	true
TABLE_ORDER	6065280
EXPECTED_PSL4_3_ORDER	6065280
ORDER_MATCH	true
CENTER_CLASS_POSITIONS	[ 1 ]
CENTER_ORDER	1
ROW_COUNT	29
CLASS_COUNT	29
IRR_ORTHONORMAL	true
CLASS_NAMES	[ "1A", "2A", "2B", "3A", "3B", "3C", "3D", "4A", "4B", "4C", 
  "5A", "6A", "6B", "6C", "6D", "6E", "8A", "9A", "9B", "10A", "12A", "12B", 
  "12C", "13A", "13B", "13C", "13D", "20A", "20B" ]
CLASS_ORDERS	[ 1, 2, 2, 3, 3, 3, 3, 4, 4, 4, 5, 6, 6, 6, 6, 6, 8, 9, 9, 10, 
  12, 12, 12, 13, 13, 13, 13, 20, 20 ]
CLASS_SIZES	[ 1, 2106, 5265, 1040, 3120, 3120, 74880, 4212, 63180, 189540, 
  303264, 84240, 84240, 84240, 168480, 168480, 758160, 224640, 224640, 
  303264, 168480, 168480, 505440, 466560, 466560, 466560, 466560, 303264, 
  303264 ]
PAIR_COLUMNS	pair_index	row	class	class_name	degree	class_order	exact_value	no\
nzero	order_times_degree	divides_group_order	violation
PAIR	1	1	1	1A	1	1	1	true	1	true	false
PAIR	2	1	2	2A	1	2	1	true	2	true	false
PAIR	3	1	3	2B	1	2	1	true	2	true	false
PAIR	4	1	4	3A	1	3	1	true	3	true	false
PAIR	5	1	5	3B	1	3	1	true	3	true	false
PAIR	6	1	6	3C	1	3	1	true	3	true	false
PAIR	7	1	7	3D	1	3	1	true	3	true	false
PAIR	8	1	8	4A	1	4	1	true	4	true	false
PAIR	9	1	9	4B	1	4	1	true	4	true	false
PAIR	10	1	10	4C	1	4	1	true	4	true	false
PAIR	11	1	11	5A	1	5	1	true	5	true	false
PAIR	12	1	12	6A	1	6	1	true	6	true	false
PAIR	13	1	13	6B	1	6	1	true	6	true	false
PAIR	14	1	14	6C	1	6	1	true	6	true	false
PAIR	15	1	15	6D	1	6	1	true	6	true	false
PAIR	16	1	16	6E	1	6	1	true	6	true	false
PAIR	17	1	17	8A	1	8	1	true	8	true	false
PAIR	18	1	18	9A	1	9	1	true	9	true	false
PAIR	19	1	19	9B	1	9	1	true	9	true	false
PAIR	20	1	20	10A	1	10	1	true	10	true	false
PAIR	21	1	21	12A	1	12	1	true	12	true	false
PAIR	22	1	22	12B	1	12	1	true	12	true	false
PAIR	23	1	23	12C	1	12	1	true	12	true	false
PAIR	24	1	24	13A	1	13	1	true	13	true	false
PAIR	25	1	25	13B	1	13	1	true	13	true	false
PAIR	26	1	26	13C	1	13	1	true	13	true	false
PAIR	27	1	27	13D	1	13	1	true	13	true	false
PAIR	28	1	28	20A	1	20	1	true	20	true	false
PAIR	29	1	29	20B	1	20	1	true	20	true	false
PAIR	30	2	1	1A	26	1	26	true	26	true	false
PAIR	31	2	2	2A	26	2	6	true	52	true	false
PAIR	32	2	3	2B	26	2	2	true	52	true	false
PAIR	33	2	4	3A	26	3	-1	true	78	true	false
PAIR	34	2	5	3B	26	3	-1	true	78	true	false
PAIR	35	2	6	3C	26	3	8	true	78	true	false
PAIR	36	2	7	3D	26	3	-1	true	78	true	false
PAIR	37	2	8	4A	26	4	4	true	104	true	false
PAIR	38	2	9	4B	26	4	2	true	104	true	false
PAIR	39	2	10	4C	26	4	0	false	104	true	false
PAIR	40	2	11	5A	26	5	1	true	130	true	false
PAIR	41	2	12	6A	26	6	3	true	156	true	false
PAIR	42	2	13	6B	26	6	0	false	156	true	false
PAIR	43	2	14	6C	26	6	-1	true	156	true	false
PAIR	44	2	15	6D	26	6	-1	true	156	true	false
PAIR	45	2	16	6E	26	6	2	true	156	true	false
PAIR	46	2	17	8A	26	8	0	false	208	true	false
PAIR	47	2	18	9A	26	9	2	true	234	true	false
PAIR	48	2	19	9B	26	9	-1	true	234	true	false
PAIR	49	2	20	10A	26	10	1	true	260	true	false
PAIR	50	2	21	12A	26	12	1	true	312	true	false
PAIR	51	2	22	12B	26	12	-2	true	312	true	false
PAIR	52	2	23	12C	26	12	-1	true	312	true	false
PAIR	53	2	24	13A	26	13	0	false	338	false	false
PAIR	54	2	25	13B	26	13	0	false	338	false	false
PAIR	55	2	26	13C	26	13	0	false	338	false	false
PAIR	56	2	27	13D	26	13	0	false	338	false	false
PAIR	57	2	28	20A	26	20	-1	true	520	true	false
PAIR	58	2	29	20B	26	20	-1	true	520	true	false
PAIR	59	3	1	1A	26	1	26	true	26	true	false
PAIR	60	3	2	2A	26	2	6	true	52	true	false
PAIR	61	3	3	2B	26	2	2	true	52	true	false
PAIR	62	3	4	3A	26	3	-1	true	78	true	false
PAIR	63	3	5	3B	26	3	8	true	78	true	false
PAIR	64	3	6	3C	26	3	-1	true	78	true	false
PAIR	65	3	7	3D	26	3	-1	true	78	true	false
PAIR	66	3	8	4A	26	4	4	true	104	true	false
PAIR	67	3	9	4B	26	4	2	true	104	true	false
PAIR	68	3	10	4C	26	4	0	false	104	true	false
PAIR	69	3	11	5A	26	5	1	true	130	true	false
PAIR	70	3	12	6A	26	6	0	false	156	true	false
PAIR	71	3	13	6B	26	6	3	true	156	true	false
PAIR	72	3	14	6C	26	6	-1	true	156	true	false
PAIR	73	3	15	6D	26	6	2	true	156	true	false
PAIR	74	3	16	6E	26	6	-1	true	156	true	false
PAIR	75	3	17	8A	26	8	0	false	208	true	false
PAIR	76	3	18	9A	26	9	-1	true	234	true	false
PAIR	77	3	19	9B	26	9	2	true	234	true	false
PAIR	78	3	20	10A	26	10	1	true	260	true	false
PAIR	79	3	21	12A	26	12	-2	true	312	true	false
PAIR	80	3	22	12B	26	12	1	true	312	true	false
PAIR	81	3	23	12C	26	12	-1	true	312	true	false
PAIR	82	3	24	13A	26	13	0	false	338	false	false
PAIR	83	3	25	13B	26	13	0	false	338	false	false
PAIR	84	3	26	13C	26	13	0	false	338	false	false
PAIR	85	3	27	13D	26	13	0	false	338	false	false
PAIR	86	3	28	20A	26	20	-1	true	520	true	false
PAIR	87	3	29	20B	26	20	-1	true	520	true	false
PAIR	88	4	1	1A	39	1	39	true	39	true	false
PAIR	89	4	2	2A	39	2	-1	true	78	true	false
PAIR	90	4	3	2B	39	2	7	true	78	true	false
PAIR	91	4	4	3A	39	3	12	true	117	true	false
PAIR	92	4	5	3B	39	3	3	true	117	true	false
PAIR	93	4	6	3C	39	3	3	true	117	true	false
PAIR	94	4	7	3D	39	3	3	true	117	true	false
PAIR	95	4	8	4A	39	4	-1	true	156	true	false
PAIR	96	4	9	4B	39	4	3	true	156	true	false
PAIR	97	4	10	4C	39	4	-1	true	156	true	false
PAIR	98	4	11	5A	39	5	-1	true	195	true	false
PAIR	99	4	12	6A	39	6	-1	true	234	true	false
PAIR	100	4	13	6B	39	6	-1	true	234	true	false
PAIR	101	4	14	6C	39	6	4	true	234	true	false
PAIR	102	4	15	6D	39	6	1	true	234	true	false
PAIR	103	4	16	6E	39	6	1	true	234	true	false
PAIR	104	4	17	8A	39	8	1	true	312	true	false
PAIR	105	4	18	9A	39	9	0	false	351	true	false
PAIR	106	4	19	9B	39	9	0	false	351	true	false
PAIR	107	4	20	10A	39	10	-1	true	390	true	false
PAIR	108	4	21	12A	39	12	-1	true	468	true	false
PAIR	109	4	22	12B	39	12	-1	true	468	true	false
PAIR	110	4	23	12C	39	12	0	false	468	true	false
PAIR	111	4	24	13A	39	13	0	false	507	false	false
PAIR	112	4	25	13B	39	13	0	false	507	false	false
PAIR	113	4	26	13C	39	13	0	false	507	false	false
PAIR	114	4	27	13D	39	13	0	false	507	false	false
PAIR	115	4	28	20A	39	20	-1	true	780	true	false
PAIR	116	4	29	20B	39	20	-1	true	780	true	false
PAIR	117	5	1	1A	52	1	52	true	52	true	false
PAIR	118	5	2	2A	52	2	8	true	104	true	false
PAIR	119	5	3	2B	52	2	-4	true	104	true	false
PAIR	120	5	4	3A	52	3	-2	true	156	true	false
PAIR	121	5	5	3B	52	3	7	true	156	true	false
PAIR	122	5	6	3C	52	3	7	true	156	true	false
PAIR	123	5	7	3D	52	3	-2	true	156	true	false
PAIR	124	5	8	4A	52	4	-10	true	208	true	false
PAIR	125	5	9	4B	52	4	0	false	208	true	false
PAIR	126	5	10	4C	52	4	2	true	208	true	false
PAIR	127	5	11	5A	52	5	2	true	260	true	false
PAIR	128	5	12	6A	52	6	-1	true	312	true	false
PAIR	129	5	13	6B	52	6	-1	true	312	true	false
PAIR	130	5	14	6C	52	6	2	true	312	true	false
PAIR	131	5	15	6D	52	6	-1	true	312	true	false
PAIR	132	5	16	6E	52	6	-1	true	312	true	false
PAIR	133	5	17	8A	52	8	0	false	416	true	false
PAIR	134	5	18	9A	52	9	1	true	468	true	false
