vertex,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
28,3,3,2,5,5,5,2,6,5,6,5,5,5,3,5,3,5,5,6,5,6,5,6,6,3,5,2,1,3,3,5,5,6,5,2,3,3,5,5,5,3,5,5,5,6,2,3,6,3,5,5,6,2,6,6
29,3,5,5,2,3,3,5,6,6,5,5,5,5,5,2,6,5,5,5,3,3,6,6,6,5,5,5,3,1,5,2,6,5,3,2,5,5,5,5,3,6,5,3,5,3,6,6,5,6,2,6,2,5,3,3
30,5,3,5,3,2,6,5,5,3,6,5,2,5,5,5,5,3,6,6,5,6,5,5,3,6,3,2,3,5,1,6,2,5,5,5,5,6,5,5,5,5,3,5,3,3,5,6,3,6,6,2,3,6,2,5
31,5,3,5,3,2,5,5,5,2,5,6,3,5,5,6,6,3,5,5,6,5,6,6,3,5,5,5,5,2,6,1,5,3,2,3,3,3,5,3,5,5,5,5,6,5,5,2,6,3,2,6,6,3,6,5
32,3,5,5,2,3,2,5,5,5,5,5,6,6,5,3,5,6,6,6,3,3,5,5,5,6,2,3,5,6,2,5,1,3,5,5,3,5,3,5,6,3,5,5,5,5,3,3,5,2,6,2,6,5,6,6
33,3,3,2,5,5,5,3,5,5,5,6,5,6,2,5,3,6,6,5,6,5,6,5,5,3,2,5,6,5,5,3,3,1,2,5,6,5,5,5,3,5,5,5,3,3,6,6,2,6,5,5,3,6,3,2
34,5,2,3,5,3,5,5,5,6,3,2,5,5,6,5,6,6,3,5,6,5,6,3,5,5,3,6,5,3,5,2,5,2,1,5,5,5,3,5,5,3,3,6,5,5,3,2,2,5,6,3,5,6,6,6
35,2,5,3,3,5,5,6,2,5,5,5,5,3,5,6,6,5,5,3,5,6,3,6,6,5,6,3,2,2,5,3,5,5,5,1,5,5,3,6,5,5,3,5,3,5,2,5,3,6,6,3,2,6,5,6
36,5,5,2,6,6,2,6,5,2,5,3,6,3,3,6,6,5,2,3,5,5,2,3,5,6,5,5,3,5,5,3,3,6,5,5,1,6,3,3,5,6,5,5,5,2,5,5,6,5,5,5,3,5,3,6
37,6,5,6,5,2,3,2,6,6,3,5,3,2,6,5,5,6,2,5,3,2,5,3,6,5,3,5,3,5,6,3,5,5,5,5,6,1,5,6,5,3,5,3,2,5,5,5,3,5,5,6,3,5,6,5
38,6,2,5,6,5,2,3,2,5,3,6,3,6,5,6,3,3,6,5,5,5,5,6,2,2,5,6,5,5,5,5,3,5,3,3,3,5,1,5,5,6,6,2,3,5,5,5,5,5,3,5,5,6,6,3
39,2,6,5,5,6,5,3,3,2,2,6,6,6,5,3,2,5,5,6,3,2,6,5,5,3,3,3,5,5,5,3,5,5,5,6,3,6,5,1,3,5,2,6,5,5,6,5,3,5,5,3,6,5,5,5
40,5,6,6,2,5,3,6,5,5,2,6,3,3,2,6,5,2,5,2,6,6,3,5,3,5,5,3,5,3,5,5,6,3,5,5,5,5,5,3,1,2,5,6,3,6,3,3,5,6,5,6,5,5,5,5
41,5,6,6,2,5,6,2,3,3,6,2,5,5,6,3,5,3,5,3,6,6,2,5,2,5,5,5,3,6,5,5,3,5,3,5,6,3,6,5,2,1,3,5,5,5,5,5,5,5,6,5,6,5,3,3
42,2,6,5,5,6,3,5,6,6,6,2,2,3,3,5,3,5,5,6,2,3,6,5,5,2,6,5,5,5,3,5,5,5,3,3,5,5,6,2,5,3,1,5,6,3,5,5,5,6,3,5,5,3,5,6
43,6,2,5,6,5,6,5,6,3,6,3,5,2,3,2,2,2,6,5,5,5,5,6,3,3,3,3,5,3,5,5,5,5,6,5,5,3,2,6,6,5,5,1,5,3,3,6,6,5,5,3,5,5,5,5
44,6,5,6,5,2,5,6,2,3,5,3,6,6,2,3,5,6,3,5,2,3,5,2,6,5,5,5,5,5,3,6,5,3,5,3,5,2,3,5,3,5,6,5,1,6,5,6,5,3,6,5,5,3,5,5
45,5,5,2,6,6,6,3,3,6,3,5,2,5,6,2,6,5,3,2,5,5,3,2,5,6,5,5,6,3,3,5,5,3,5,5,2,5,5,5,6,5,3,3,6,1,6,3,5,3,5,5,5,6,5,5
46,6,5,6,5,5,5,3,3,3,6,5,3,5,5,6,2,5,3,2,3,5,5,5,5,5,6,6,2,6,5,5,3,6,3,2,5,5,5,6,3,5,5,3,5,6,1,5,2,2,6,5,3,3,6,5
47,5,6,5,5,6,5,5,3,3,5,3,5,3,6,6,5,2,5,5,5,3,5,2,5,3,5,6,3,6,6,2,3,6,2,5,5,5,5,5,3,5,5,6,6,3,5,1,3,5,3,2,6,2,5,6
48,5,6,6,5,5,3,5,5,6,5,3,5,6,3,3,2,5,2,3,5,5,5,5,3,5,6,6,6,5,3,6,5,2,2,3,6,3,5,3,5,5,5,6,5,5,2,3,1,6,6,5,5,5,2,3
49,6,5,5,6,5,3,5,5,5,3,3,6,3,6,5,3,5,5,2,2,5,5,5,3,5,2,5,3,6,6,3,2,6,5,6,5,5,5,5,6,5,6,5,3,3,2,5,6,1,2,3,5,5,6,3
50,5,5,5,6,6,5,3,6,3,5,6,5,5,3,3,5,5,3,3,2,5,5,5,2,5,3,3,5,2,6,2,6,5,6,6,5,5,3,5,5,6,3,5,6,5,6,3,6,2,1,5,3,5,2,5
51,5,5,5,6,6,3,3,5,5,6,5,3,6,3,5,5,2,5,5,5,2,3,3,5,5,6,6,5,6,2,6,2,5,3,3,5,6,5,3,6,5,5,3,5,5,5,2,5,3,5,1,2,6,3,6
52,6,5,5,6,5,5,6,3,6,3,3,5,5,5,3,5,3,5,5,5,2,2,5,5,3,6,5,6,2,3,6,6,3,5,2,3,3,5,6,5,6,5,5,5,5,3,6,5,5,3,2,1,6,5,2
53,5,6,6,5,5,3,3,6,5,3,5,6,5,5,3,5,3,5,5,5,5,3,2,5,2,3,2,2,5,6,3,5,6,6,6,5,5,6,5,5,5,3,5,3,6,3,2,5,5,5,6,6,1,3,2
54,5,6,5,5,6,6,6,3,5,3,5,3,3,5,5,3,5,2,5,3,5,5,5,2,5,5,2,6,3,2,6,6,3,6,5,3,6,6,5,5,3,5,5,5,5,6,5,2,6,2,3,5,3,1,5
55,6,5,6,5,5,6,5,5,3,5,6,3,3,3,5,5,5,5,5,5,3,2,3,5,2,2,3,6,3,5,5,6,2,6,6,6,5,3,5,5,3,6,5,5,5,5,6,3,3,5,6,2,2,5,1
