META	gap_version	4.12.1
META	order	360
META	coverage	1..NumberSmallGroups(360)
META	number_small_groups	162
META	target_constructor	AlternatingGroup(6)
META	target_size	360
META	target_is_simple	true
META	target_id	[ 360, 118 ]
META	target_vanishing_order_set	[ 2, 3, 4, 5 ]
ROW_HEADER	index	size	is_target_id	vanishing_order_set	equals_target_set	colli\
ROW	92	360	false	[ 2, 4, 6, 12, 20, 60 ]	false	false
ROW	93	360	false	[ 4, 12 ]	false	false
ROW	94	360	false	[ 2, 4, 6, 10, 12, 30 ]	false	false
ROW	95	360	false	[ 4, 12, 20, 60 ]	false	false
ROW	96	360	false	[ 2, 4, 6, 10, 12, 20, 30, 60 ]	false	false
ROW	97	360	false	[ 2, 4, 6, 10, 12, 20, 30, 60 ]	false	false
ROW	98	360	false	[ 4, 12, 20, 60 ]	false	false
ROW	99	360	false	[ 2, 4, 6, 10, 12, 20, 30, 60 ]	false	false
ROW	100	360	false	[ 4, 12, 20, 60 ]	false	false
ROW	101	360	false	[ 2, 4, 6, 12 ]	false	false
ROW	102	360	false	[ 2, 4, 6, 12, 20, 60 ]	false	false
ROW	103	360	false	[ 4, 12 ]	false	false
ROW	104	360	false	[ 2, 4, 6, 10, 12, 30 ]	false	false
ROW	105	360	false	[ 4, 12, 20, 60 ]	false	false
ROW	106	360	false	[ 2, 4, 10, 20 ]	false	false
ROW	107	360	false	[ 2, 4, 10, 12, 20, 60 ]	false	false
ROW	108	360	false	[ 4, 20 ]	false	false
ROW	109	360	false	[ 2, 4, 6, 10, 20, 30 ]	false	false
ROW	110	360	false	[ 4, 12, 20, 60 ]	false	false
ROW	111	360	false	[ 2, 4 ]	false	false
ROW	112	360	false	[ 2, 4, 12, 20, 60 ]	false	false
ROW	113	360	false	[ 4 ]	false	false
ROW	114	360	false	[ 2, 4, 6, 10, 30 ]	false	false
ROW	115	360	false	[ ]	false	false
ROW	116	360	false	[ 2, 4, 6, 10, 12, 20, 30, 60 ]	false	false
ROW	117	360	false	[ 4, 12, 20, 60 ]	false	false
ROW	118	360	true	[ 2, 3, 4, 5 ]	true	false
ROW	119	360	false	[ 2, 3, 4, 5, 6, 12, 15 ]	false	false
ROW	120	360	false	[ 2, 3, 4, 5, 6, 15 ]	false	false
ROW	121	360	false	[ 2, 3, 5, 6, 10, 15 ]	false	false
ROW	122	360	false	[ 2, 3, 5, 6, 10, 15, 30 ]	false	false
ROW	123	360	false	[ 2, 4, 8, 10, 20, 40 ]	false	false
ROW	124	360	false	[ 2, 4, 8, 10, 20 ]	false	false
ROW	125	360	false	[ 2, 4, 8, 10 ]	false	false
ROW	126	360	false	[ 2, 4, 6, 10, 12, 30 ]	false	false
ROW	127	360	false	[ 2, 4, 6, 10, 12 ]	false	false
ROW	128	360	false	[ 2, 4, 6, 10, 12, 30 ]	false	false
ROW	129	360	false	[ 2, 4, 6, 10, 12 ]	false	false
ROW	130	360	false	[ 2, 4, 6, 10, 20 ]	false	false
ROW	131	360	false	[ 2, 4, 6, 10 ]	false	false
ROW	132	360	false	[ 2, 4, 6, 10, 20, 30 ]	false	false
ROW	133	360	false	[ 2, 4, 6, 10, 30 ]	false	false
ROW	134	360	false	[ 2, 4, 6, 10, 20 ]	false	false
ROW	135	360	false	[ 2, 4, 10, 20 ]	false	false
ROW	136	360	false	[ 2, 4, 10, 20 ]	false	false
ROW	137	360	false	[ 2, 6, 10, 30 ]	false	false
ROW	138	360	false	[ 2, 3, 4, 6, 10, 12, 15, 20, 30, 60 ]	false	false
ROW	139	360	false	[ 2, 3, 4, 6, 12, 15 ]	false	false
ROW	140	360	false	[ 2, 3, 4, 10, 15, 20 ]	false	false
ROW	141	360	false	[ 2, 3, 4, 15 ]	false	false
ROW	142	360	false	[ 2, 3, 6, 15 ]	false	false
ROW	143	360	false	[ 2, 3, 6, 10, 15, 30 ]	false	false
ROW	144	360	false	[ 2, 3, 6, 15 ]	false	false
ROW	145	360	false	[ 2, 4, 6, 12 ]	false	false
ROW	146	360	false	[ 2, 4, 6, 12 ]	false	false
ROW	147	360	false	[ 2, 4, 6 ]	false	false
ROW	148	360	false	[ 2, 4, 10, 20 ]	false	false
ROW	149	360	false	[ 2, 4, 10 ]	false	false
ROW	150	360	false	[ 2, 4 ]	false	false
ROW	151	360	false	[ 2, 6, 10, 30 ]	false	false
ROW	152	360	false	[ 2, 6, 10 ]	false	false
ROW	153	360	false	[ 2, 6, 10, 30 ]	false	false
ROW	154	360	false	[ 2, 6, 10, 30 ]	false	false
ROW	155	360	false	[ 2, 6, 10 ]	false	false
ROW	156	360	false	[ 3, 6, 15, 30 ]	false	false
ROW	157	360	false	[ 2, 6 ]	false	false
ROW	158	360	false	[ 2, 6, 10, 30 ]	false	false
ROW	159	360	false	[ 2, 6 ]	false	false
ROW	160	360	false	[ 2, 10 ]	false	false
ROW	161	360	false	[ 2 ]	false	false
ROW	162	360	false	[ ]	false	false
SUMMARY	row_count	162
SUMMARY	target_rows	[ 118 ]
SUMMARY	equal_set_rows	[ 118 ]
SUMMARY	collision_rows	[ ]
SUMMARY	collision_count	0
SUMMARY	complete	true
SUMMARY	runtime_ms	56683
